race_name,race_type,allowed_vehicle_classes,player_min,player_max,route_type
45°,Stunt,Motorcycles,1,16,Stunt Race
Afterburner,Stunt,Motorcycles,1,16,Stunt Race
Around the Docks,Stunt,Motorcycles,1,16,Stunt Race
Big Drop,Stunt,Sports,1,16,Stunt Race
Big M,Stunt,Motorcycles,1,16,Stunt Race
Black and Yellow,Stunt,Super,1,30,Stunt Race
Canyon Crossing,Stunt,Super,1,16,Stunt Race
Chiliad,Stunt,Super,1,16,Stunt Race
City Air,Stunt,Sports,1,16,Stunt Race
City Jumper,Issi Classic,Issi Classic,1,30,Stunt Race
Double Loop,Stunt,Super,1,16,Stunt Race
Downtown Loop,Stunt,Super,1,16,Stunt Race
Duel,Stunt,Muscle,1,16,Stunt Race
East Coast,Stunt,Super,1,16,Stunt Race
Forest,Stunt,Motorcycles,1,16,Stunt Race
Gauntlet,Stunt,Super,1,16,Stunt Race
Goal,Issi Classic,Issi Classic,1,30,Stunt Race
Gordo,Stunt,"Sports, Super",1,16,Stunt Race
Green Machine,Stunt,Super,1,16,Stunt Race
H200,Stunt,Sports,1,16,Stunt Race
High Flier,Stunt,Motorcycles,1,16,Stunt Race
In the City,Stunt,Sports,1,16,Stunt Race
Love Canyon,Stunt,Super,1,30,Stunt Race
Maze Bank Ascent,Stunt,Sports,1,16,Stunt Race
Meuy's Grand Line,Stunt,Super,1,16,Stunt Race
Mountain Drop,Stunt,Motorcycles,1,16,Stunt Race
Nightlife,Stunt,Motorcycles,1,16,Stunt Race
Over and Under,Stunt,Motorcycles,1,16,Stunt Race
Over the Bridge,Stunt,Motorcycles,1,16,Stunt Race
Paleto Palace,Issi Classic,Issi Classic,1,30,Stunt Race
Pier Race,Stunt,Super,1,16,Stunt Race
Plummet,Stunt,Super,1,16,Stunt Race
Plummet II,Stunt,Super,1,16,Stunt Race
Racing Alley,Stunt,Sports,1,16,Stunt Race
Rally,Stunt,Sports,1,16,Stunt Race
Raton,Stunt,Super,1,16,Stunt Race
Repeater,Issi Classic,Issi Classic,1,30,Stunt Race
Rocket Kars,Stunt,"Muscle, Sports, Super",1,30,Stunt Race
Sidewinder,Issi Classic,Issi Classic,1,30,Stunt Race
Spinner,Stunt,Super,1,16,Stunt Race
Splits,Stunt,Compacts,1,16,Stunt Race
The Issi Job,Issi Classic,Issi Classic,1,30,Stunt Race
The Wave,Stunt,Motorcycles,1,16,Stunt Race
Threading the Needle,Stunt,Motorcycles,1,16,Stunt Race
Trench I,Stunt,Motorcycles,1,16,Stunt Race
Trench II,Stunt,Muscle,1,16,Stunt Race
Trench III,Stunt,Motorcycles,1,16,Stunt Race
Turbine,Stunt,Off-Road,1,16,Stunt Race
Turbine Trouble,Issi Classic,Issi Classic,1,30,Stunt Race
Vespucci,Stunt,Super,1,16,Stunt Race
Vinewood Downhill,Stunt,Motorcycles,1,16,Stunt Race
Wall Climb,Stunt,Super,1,16,Stunt Race
Zebra,Stunt,Sports,1,16,Stunt Race
